sample_name	shannon_diversity	env_biome	env_package	empo_4	empo_v2_4b	elevation	ph	water_content
13114.6.Mock.Community1	5.488934003377762	urban biome	misc environment	Mock community	Mock community	193.0	not applicable	not applicable
13114.6.Mock.Community4	6.456336037734777	urban biome	misc environment	Mock community	Mock community	193.0	not applicable	not applicable
13114.7.Mock.Community1	3.800635770506537	urban biome	misc environment	Mock community	Mock community	193.0	not applicable	not applicable
13114.7.Mock.Community4	3.768911457241135	urban biome	misc environment	Mock community	Mock community	193.0	not applicable	not applicable
13114.7.Mock.Community5	3.675092212848882	urban biome	misc environment	Mock community	Mock community	193.0	not applicable	not applicable
13114.BLANK5.5C	4.279459395174535	urban biome	misc environment	Sterile water blank	Sterile water blank	193.0	not applicable	not applicable
13114.BLANK6.10H	3.781328763355367	urban biome	misc environment	Sterile water blank	Sterile water blank	193.0	not applicable	not applicable
13114.BLANK6.11B	6.92991750934489	urban biome	misc environment	Sterile water blank	Sterile water blank	193.0	not applicable	not applicable
13114.BLANK7.7E	6.4127721658591685	urban biome	misc environment	Sterile water blank	Sterile water blank	193.0	not applicable	not applicable
13114.Negative1.P7	2.937253545402628	urban biome	misc environment	Sterile water blank	Sterile water blank	193.0	not applicable	not applicable
13114.Negative2.P8	3.314246231835439	urban biome	misc environment	Sterile water blank	Sterile water blank	193.0	not applicable	not applicable
13114.Negative3.P8	1.916600269889964	urban biome	misc environment	Sterile water blank	Sterile water blank	193.0	not applicable	not applicable
13114.Negative4.P8	2.9282729197327293	urban biome	misc environment	Sterile water blank	Sterile water blank	193.0	not applicable	not applicable
13114.Negative5.P7	5.19295929225844	urban biome	misc environment	Sterile water blank	Sterile water blank	193.0	not applicable	not applicable
13114.Negative5.P8	2.371486481881183	urban biome	misc environment	Sterile water blank	Sterile water blank	193.0	not applicable	not applicable
13114.Negative6.P6	3.376992613564796	urban biome	misc environment	Sterile water blank	Sterile water blank	193.0	not applicable	not applicable
13114.Negative6.P7	5.392366799490933	urban biome	misc environment	Sterile water blank	Sterile water blank	193.0	not applicable	not applicable
13114.Vibrio1.P1	0.0370337461313151	urban biome	misc environment	Single strain	Single strain	193.0	not applicable	not applicable
13114.Vibrio2.P1	0.0127787083319158	urban biome	misc environment	Single strain	Single strain	193.0	not applicable	not applicable
13114.Vibrio3.P1	0.0386337461313151	urban biome	misc environment	Single strain	Single strain	193.0	not applicable	not applicable
13114.Vibrio4.P1	0.0101838641507784	urban biome	misc environment	Single strain	Single strain	193.0	not applicable	not applicable
13114.angenent.65.s001	4.701025064112323	urban biome	host-associated	Animal proximal gut (non-saline)	Animal proximal gut (non-saline)	123.0	not applicable	not applicable
13114.angenent.65.s002	4.9261498745358026	urban biome	host-associated	Animal proximal gut (non-saline)	Animal proximal gut (non-saline)	123.0	not applicable	not applicable
13114.angenent.65.s003	4.457803273155427	urban biome	host-associated	Animal proximal gut (non-saline)	Animal proximal gut (non-saline)	123.0	not applicable	not applicable
13114.angenent.65.s004	4.838669326476521	urban biome	host-associated	Animal proximal gut (non-saline)	Animal proximal gut (non-saline)	123.0	not applicable	not applicable
13114.angenent.65.s005	5.290161096822856	urban biome	host-associated	Animal proximal gut (non-saline)	Animal proximal gut (non-saline)	123.0	not applicable	not applicable
13114.angenent.65.s006	4.425225972417117	urban biome	host-associated	Animal proximal gut (non-saline)	Animal proximal gut (non-saline)	123.0	not applicable	not applicable
13114.angenent.65.s007	4.478996857626722	urban biome	host-associated	Animal proximal gut (non-saline)	Animal proximal gut (non-saline)	123.0	not applicable	not applicable
13114.angenent.65.s008	4.531872923264535	urban biome	host-associated	Animal proximal gut (non-saline)	Animal proximal gut (non-saline)	123.0	not applicable	not applicable
13114.angenent.65.s009	4.406789599734049	urban biome	host-associated	Animal proximal gut (non-saline)	Animal proximal gut (non-saline)	123.0	not applicable	not applicable
13114.berry.2.s001	8.959053470837457	Small lake biome	sediment	Sediment (non-saline)	Sediment (non-saline)	75.6	not applicable	not applicable
13114.berry.2.s002	9.146383395286946	Small lake biome	sediment	Sediment (non-saline)	Sediment (non-saline)	75.6	not applicable	not applicable
13114.berry.2.s003	9.03924698961794	Small lake biome	sediment	Sediment (non-saline)	Sediment (non-saline)	75.6	not applicable	not applicable
