bean_origin,latitude,longitude
Tanzania,-6.369028,34.888822
Dominican Republic,18.735693,-70.162651
Madagascar,-18.766947,46.869107
Fiji,-16.578193,179.414413
Venezuela,6.42375,-66.58973
Uganda,1.373333,32.290275
India,32.290275,32.290275
Bolivia,-16.290154,-63.588653
Peru,-9.189967,-75.015152
Panama,8.537981,-80.782127
Colombia,4.570868,-74.297333
Burma,21.913965,95.956223
Brazil,-14.235004,-51.92528
Papua New Guinea,-6.314993,143.95555
Ecuador,-1.831239,-78.183406
Cuba,21.521757,-77.781167
Togo,8.619543,0.824782
Sao Tome,0.18636,6.613081
Mexico,23.634501,-102.552784
Vanuatu,-15.376706,166.959158
Indonesia,-0.789275,113.921327
Trinidad,10.691803,-61.222503
Vietnam,14.058324,108.277199
Nicaragua,12.865416,-85.207229
Ghana,7.946527,-1.023194
Belize,17.189877,-88.49765
Blend,0,0
Jamaica,18.109581,-77.297508
Grenada,12.262776,-61.604171
Guatemala,15.783471,-90.230759
Honduras,15.199999,-86.241905
Costa Rica,9.748917,-83.753428
Haiti,18.971187,-72.285215
Congo,-0.228021,15.827659
Philippines,12.879721,121.774017
Solomon Islands,-9.64571,160.156194
Malaysia,4.210484,101.975766
Sri Lanka,7.873054,80.771797
Ivory Coast,7.5455,-5.5475
Gabon,-0.803689,11.609444
Taiwan,23.69781,120.960515
Puerto Rico,18.220833,-66.590149
Martinique,14.641528,-61.024174
St. Lucia,13.909444,-60.978893
Australia,-25.274398,133.775136
Liberia,6.428055,-9.429499
Sierra Leone,8.460555,-11.779889
U.S.A.,37.09024,-95.712891
Nigeria,9.081999,8.675277
St.Vincent-Grenadines,12.984305,-61.287228
Thailand,15.870032,100.992541
Tobago,11.2337,60.6989
Sao Tome & Principe,0.18636,6.613081
Sumatra,0.5897,101.3431
El Salvador,13.794185,-88.89653
Cameroon,7.369722,12.354722
Samoa,-13.759029,-172.104629
China,35.86166,104.195397
Principe,0.1864,6.6131
Sulawesi,1.8479,120.5279
Suriname,3.919305,-56.027783
DR Congo,-4.038333,21.758664
